"","age","sex","N","year"
"1",0,"male",5805.25492842352,2010
"2",1,"male",24229.1156107956,2010
"3",5,"male",30708.3005751496,2010
"4",10,"male",31085.7529563646,2010
"5",15,"male",31929.6276383238,2010
"6",20,"male",29850.5237282509,2010
"7",25,"male",26319.4615453023,2010
"8",30,"male",24899.1285017778,2010
"9",35,"male",24167.5918563595,2010
"10",40,"male",20357.6042183873,2010
"11",45,"male",17731.0823436589,2010
"12",50,"male",15443.7178590586,2010
"13",55,"male",11732.9322383963,2010
"14",60,"male",9058.32532846959,2010
"15",65,"male",6854.8329273169,2010
"16",70,"male",4983.31001689326,2010
"17",75,"male",3419.55496551884,2010
"18",80,"male",2077.06954929376,2010
"19",85,"male",2203.45827344347,2010
"20",0,"female",5556.06142712124,2010
"21",1,"female",23369.4095175581,2010
"22",5,"female",29890.9876291305,2010
"23",10,"female",29115.2683703625,2010
"24",15,"female",31149.5900369657,2010
"25",20,"female",30950.0090942908,2010
"26",25,"female",27474.1448801282,2010
"27",30,"female",26251.414269766,2010
"28",35,"female",25302.4462388296,2010
"29",40,"female",21598.0259106017,2010
"30",45,"female",18538.4136826049,2010
"31",50,"female",15869.6330059525,2010
"32",55,"female",11872.1016853889,2010
"33",60,"female",9539.3926540419,2010
"34",65,"female",7133.28464434731,2010
"35",70,"female",5390.35154522067,2010
"36",75,"female",3647.97928794435,2010
"37",80,"female",2547.49603590154,2010
"38",85,"female",2644.03269342885,2010
"39",0,"male",4797.61243550902,2019
"40",1,"male",22039.4255712027,2019
"41",5,"male",30727.5766114143,2019
"42",10,"male",31039.5152169478,2019
"43",15,"male",30834.0200681262,2019
"44",20,"male",29726.9643081316,2019
"45",25,"male",28485.2060563471,2019
"46",30,"male",27545.1592465072,2019
"47",35,"male",26513.8426880035,2019
"48",40,"male",24496.8709170284,2019
"49",45,"male",22761.8427467363,2019
"50",50,"male",19712.3893237086,2019
"51",55,"male",16449.2644010454,2019
"52",60,"male",14025.565051578,2019
"53",65,"male",10298.4414700316,2019
"54",70,"male",7489.06412877535,2019
"55",75,"male",4967.93237989414,2019
"56",80,"male",3021.7285406501,2019
"57",85,"male",2488.0950648756,2019
"58",0,"female",4636.10923788992,2019
"59",1,"female",21423.1494071358,2019
"60",5,"female",29510.4849439524,2019
"61",10,"female",29868.5971034215,2019
"62",15,"female",30152.047569528,2019
"63",20,"female",29867.6438127009,2019
"64",25,"female",29375.3754966559,2019
"65",30,"female",29552.5409129062,2019
"66",35,"female",27801.0793618116,2019
"67",40,"female",26076.7908347395,2019
"68",45,"female",23600.8462744115,2019
"69",50,"female",21088.0616081337,2019
"70",55,"female",17487.2330153916,2019
"71",60,"female",14841.8692912979,2019
"72",65,"female",11108.7901063718,2019
"73",70,"female",8132.98928801239,2019
"74",75,"female",5534.21222694009,2019
"75",80,"female",3660.91618169148,2019
"76",85,"female",3381.58057942811,2019
"77",0,"male",4598.60408291202,2021
"78",1,"male",21580.3582860858,2021
"79",5,"male",30731.8618179497,2021
"80",10,"male",31029.2495071887,2021
"81",15,"male",30595.7031728954,2021
"82",20,"male",29699.5761895162,2021
"83",25,"male",28990.1860245339,2021
"84",30,"male",28170.3477190829,2021
"85",35,"male",27065.4181560581,2021
"86",40,"male",25525.4679767217,2021
"87",45,"male",24060.9264603972,2021
"88",50,"male",20810.9557383505,2021
"89",55,"male",17731.9032195107,2021
"90",60,"male",15456.6098641833,2021
"91",65,"male",11273.3958357236,2021
"92",70,"male",8198.62086710174,2021
"93",75,"male",5397.85821737814,2021
"94",80,"male",3284.23483965919,2021
"95",85,"male",2556.18269027416,2021
"96",0,"female",4453.32120700049,2021
"97",1,"female",21013.1530021211,2021
"98",5,"female",29426.5887582491,2021
"99",10,"female",30038.6329456298,2021
"100",15,"female",29934.7462919926,2021
"101",20,"female",29632.3059118649,2021
"102",25,"female",29815.4271925815,2021
"103",30,"female",30340.7568349109,2021
"104",35,"female",28389.0171234627,2021
"105",40,"female",27191.9798141007,2021
"106",45,"female",24901.6823417703,2021
"107",50,"female",22463.343083971,2021
"108",55,"female",19058.8822965016,2021
"109",60,"female",16373.7490829139,2021
"110",65,"female",12257.9332340218,2021
"111",70,"female",8911.41044629504,2021
"112",75,"female",6071.25951961217,2021
"113",80,"female",3968.11739440551,2021
"114",85,"female",3571.61660940726,2021
