"periodo","grupo_edad","contribucion","porcentaje"
"Hombres 2010-2019","0",0.949615622799999,8.96928682243211
"Hombres 2010-2019","1-4",0.144886519480827,1.36847869677596
"Hombres 2010-2019","5-9",0.0779685036426728,0.73642625026006
"Hombres 2010-2019","10-14",0.0523348293603502,0.494311681553795
"Hombres 2010-2019","15-19",0.251828095535779,2.37856071928058
"Hombres 2010-2019","20-24",0.321280562410209,3.03455150225175
"Hombres 2010-2019","25-29",0.396388182065728,3.74395619933767
"Hombres 2010-2019","30-34",0.44502531873886,4.20334252214992
"Hombres 2010-2019","35-39",0.551208203011874,5.20625856713833
"Hombres 2010-2019","40-44",0.581697073675532,5.49423132085952
"Hombres 2010-2019","45-49",0.627538404428131,5.92721076429969
"Hombres 2010-2019","50-54",0.691617270031302,6.53244693675888
"Hombres 2010-2019","55-59",0.80045190712256,7.56040925419476
"Hombres 2010-2019","60-64",1.00642744503176,9.50588449023293
"Hombres 2010-2019","65-69",1.11993460699776,10.5779796281283
"Hombres 2010-2019","70-74",1.04246905211356,9.84630381748124
"Hombres 2010-2019","75-79",0.944661295735441,8.92249233065329
"Hombres 2010-2019","80-84",0.750301753640104,7.086732221116
"Hombres 2010-2019","85+",-0.168219597114034,-1.58886372490474
"Hombres 2019-2021","0",0.616691943199998,7.75481789768617
"Hombres 2019-2021","1-4",0.121710212466879,1.53048948405549
"Hombres 2019-2021","5-9",0.0537621206603164,0.676051406397206
"Hombres 2019-2021","10-14",0.0569678264247234,0.716362723434272
"Hombres 2019-2021","15-19",0.420270338813173,5.28484275047204
"Hombres 2019-2021","20-24",0.855595980520783,10.75900390153
"Hombres 2019-2021","25-29",0.924352489015262,11.6236077098572
"Hombres 2019-2021","30-34",0.794463300315177,9.99026870429037
"Hombres 2019-2021","35-39",0.62501973160151,7.85953871211594
"Hombres 2019-2021","40-44",0.705583437977707,8.87261643917075
"Hombres 2019-2021","45-49",0.611896142238831,7.69451134830202
"Hombres 2019-2021","50-54",0.56601009470326,7.11750049773618
"Hombres 2019-2021","55-59",0.645501629259976,8.11709580896444
"Hombres 2019-2021","60-64",0.604064739898788,7.5960325215552
"Hombres 2019-2021","65-69",0.360455430900679,4.53267836184498
"Hombres 2019-2021","70-74",0.317329879558633,3.99038037809068
"Hombres 2019-2021","75-79",0.263295692351852,3.31090777161595
"Hombres 2019-2021","80-84",0.0278379776420627,0.350058809158212
"Hombres 2019-2021","85+",-0.61843727634584,-7.77676522627711
"Mujeres 2010-2019","0",0.931008575000003,10.5238594450175
"Mujeres 2010-2019","1-4",0.16841117471009,1.90367261828847
"Mujeres 2010-2019","5-9",0.0738145827394226,0.834379311428251
"Mujeres 2010-2019","10-14",0.0678722146183201,0.767208451184524
"Mujeres 2010-2019","15-19",0.104916508049693,1.18594673972473
"Mujeres 2010-2019","20-24",0.113842830588599,1.28684738262197
"Mujeres 2010-2019","25-29",0.174014200414742,1.96700764716571
"Mujeres 2010-2019","30-34",0.224609704446854,2.5389250142896
"Mujeres 2010-2019","35-39",0.165115169216497,1.86641549791815
"Mujeres 2010-2019","40-44",0.251257275641098,2.84014167472617
"Mujeres 2010-2019","45-49",0.349655184549534,3.95240400059789
"Mujeres 2010-2019","50-54",0.409905649800569,4.63345833760956
"Mujeres 2010-2019","55-59",0.667839246370824,7.54906726898079
"Mujeres 2010-2019","60-64",0.78342567616767,8.85562380733855
"Mujeres 2010-2019","65-69",1.04579519023644,11.8213751042235
"Mujeres 2010-2019","70-74",1.1395067037278,12.8806637325403
"Mujeres 2010-2019","75-79",1.23338540712715,13.9418422286195
"Mujeres 2010-2019","80-84",0.909936577924158,10.2856675084373
"Mujeres 2010-2019","85+",0.0323339800723847,0.365494229287601
"Mujeres 2019-2021","0",0.539357779999998,11.0660254470105
"Mujeres 2019-2021","1-4",0.227576373897898,4.66919369308536
"Mujeres 2019-2021","5-9",0.0879093325411389,1.80363934108812
"Mujeres 2019-2021","10-14",0.0478038512224494,0.980793554313299
"Mujeres 2019-2021","15-19",0.126866652436792,2.6029282533805
"Mujeres 2019-2021","20-24",0.282777759499631,5.80176276028046
"Mujeres 2019-2021","25-29",0.278452663660713,5.71302459354033
"Mujeres 2019-2021","30-34",0.198989620944943,4.08267812335575
"Mujeres 2019-2021","35-39",0.186957800700159,3.8358207794186
"Mujeres 2019-2021","40-44",0.252278285140541,5.17600380788686
"Mujeres 2019-2021","45-49",0.392163519049814,8.04603482533327
"Mujeres 2019-2021","50-54",0.375751733485865,7.70931355530442
"Mujeres 2019-2021","55-59",0.393484872217944,8.07314508187395
"Mujeres 2019-2021","60-64",0.526203552993803,10.796139638028
"Mujeres 2019-2021","65-69",0.560322987009179,11.4961694495044
"Mujeres 2019-2021","70-74",0.41300190371799,8.47357680871326
"Mujeres 2019-2021","75-79",0.477655766007622,9.80008272347837
"Mujeres 2019-2021","80-84",0.31489670609073,6.46074849013917
"Mujeres 2019-2021","85+",-0.808453874213836,-16.5870809257346
