"year","sex","age","n","mx","qx","px","ax","lx","dx","Lx","Tx","ex"
2010,"m",0,1,0.013635,0.013466,0.986534,0.08,1e+05,1347,98763,7339764,73.4
2010,"m",1,4,0.000546,0.002179,0.997821,1.61,98653,215,394100,7241001,73.4
2010,"m",5,5,0.000254,0.001268,0.998732,2.5,98438,125,491880,6846901,69.56
2010,"m",10,5,0.000185,0.000926,0.999074,2.5,98314,91,491340,6355021,64.64
2010,"m",15,5,0.001019,0.005083,0.994917,2.5,98223,499,489864,5863681,59.7
2010,"m",20,5,0.001521,0.007578,0.992422,2.5,97723,741,486765,5373817,54.99
2010,"m",25,5,0.002073,0.010314,0.989686,2.5,96983,1000,482413,4887052,50.39
2010,"m",30,5,0.002559,0.012715,0.987285,2.5,95982,1220,476861,4404639,45.89
2010,"m",35,5,0.003478,0.017239,0.982761,2.5,94762,1634,469726,3927778,41.45
2010,"m",40,5,0.004295,0.021247,0.978753,2.5,93128,1979,460696,3458051,37.13
2010,"m",45,5,0.005372,0.026503,0.973497,2.5,91150,2416,449709,2997356,32.88
2010,"m",50,5,0.00711,0.034928,0.965072,2.5,88734,3099,435922,2547646,28.71
2010,"m",55,5,0.010342,0.050406,0.949594,2.5,85635,4317,417382,2111725,24.66
2010,"m",60,5,0.016574,0.079572,0.920428,2.5,81318,6471,390414,1694342,20.84
2010,"m",65,5,0.024326,0.114655,0.885345,2.5,74848,8582,352784,1303928,17.42
2010,"m",70,5,0.033937,0.156413,0.843587,2.5,66266,10365,305417,951144,14.35
2010,"m",75,5,0.052031,0.230211,0.769789,2.5,55901,12869,247333,645727,11.55
2010,"m",80,5,0.076526,0.321183,0.678817,2.5,43032,13821,180607,398394,9.26
2010,"m",85,NA,0.134126,1,0,NA,29211,29211,217787,217787,7.46
2010,"f",0,1,0.011875,0.011747,0.988253,0.09,1e+05,1175,98927,7943759,79.44
2010,"f",1,4,0.000572,0.002284,0.997716,1.5,98825,226,394738,7844832,79.38
2010,"f",5,5,0.000212,0.001061,0.998939,2.5,98600,105,492736,7450094,75.56
2010,"f",10,5,0.000206,0.001032,0.998968,2.5,98495,102,492220,6957358,70.64
2010,"f",15,5,0.000354,0.001768,0.998232,2.5,98393,174,491531,6465138,65.71
2010,"f",20,5,0.000443,0.002211,0.997789,2.5,98219,217,490553,5973607,60.82
2010,"f",25,5,0.000717,0.003581,0.996419,2.5,98002,351,489133,5483053,55.95
2010,"f",30,5,0.000993,0.00495,0.99505,2.5,97651,483,487047,4993920,51.14
2010,"f",35,5,0.000832,0.00415,0.99585,2.5,97168,403,484831,4506873,46.38
2010,"f",40,5,0.001423,0.007091,0.992909,2.5,96765,686,482107,4022042,41.57
2010,"f",45,5,0.002325,0.011556,0.988444,2.5,96078,1110,477616,3539935,36.84
2010,"f",50,5,0.003179,0.01577,0.98423,2.5,94968,1498,471096,3062318,32.25
2010,"f",55,5,0.006106,0.030073,0.969927,2.5,93471,2811,460325,2591222,27.72
2010,"f",60,5,0.00914,0.044678,0.955322,2.5,90660,4050,443171,2130897,23.5
2010,"f",65,5,0.016018,0.077004,0.922996,2.5,86609,6669,416372,1687726,19.49
2010,"f",70,5,0.024295,0.114519,0.885481,2.5,79940,9155,376812,1271354,15.9
2010,"f",75,5,0.042308,0.191305,0.808695,2.5,70785,13542,320072,894542,12.64
2010,"f",80,5,0.058358,0.254639,0.745361,2.5,57244,14576,249777,574470,10.04
2010,"f",85,NA,0.131408,1,0,NA,42667,42667,324693,324693,7.61
2019,"m",0,1,0.009605,0.00952,0.99048,0.07,1e+05,952,99115,7122840,71.23
2019,"m",1,4,5e-04,0.001998,0.998002,1.62,99048,198,395722,7023724,70.91
