"Edad","n","mx","qx","px","ax","lx","dx","Lx","Tx","ex"
0,1,0.013635,0.013466,0.986534,0.08,1e+05,1347,98763,7339764,73.4
1,4,0.000546,0.002179,0.997821,1.61,98653,215,394100,7241001,73.4
5,5,0.000254,0.001268,0.998732,2.5,98438,125,491880,6846901,69.56
10,5,0.000185,0.000926,0.999074,2.5,98314,91,491340,6355021,64.64
15,5,0.001019,0.005083,0.994917,2.5,98223,499,489864,5863681,59.7
20,5,0.001521,0.007578,0.992422,2.5,97723,741,486765,5373817,54.99
25,5,0.002073,0.010314,0.989686,2.5,96983,1000,482413,4887052,50.39
30,5,0.002559,0.012715,0.987285,2.5,95982,1220,476861,4404639,45.89
35,5,0.003478,0.017239,0.982761,2.5,94762,1634,469726,3927778,41.45
40,5,0.004295,0.021247,0.978753,2.5,93128,1979,460696,3458051,37.13
45,5,0.005372,0.026503,0.973497,2.5,91150,2416,449709,2997356,32.88
50,5,0.00711,0.034928,0.965072,2.5,88734,3099,435922,2547646,28.71
55,5,0.010342,0.050406,0.949594,2.5,85635,4317,417382,2111725,24.66
60,5,0.016574,0.079572,0.920428,2.5,81318,6471,390414,1694342,20.84
65,5,0.024326,0.114655,0.885345,2.5,74848,8582,352784,1303928,17.42
70,5,0.033937,0.156413,0.843587,2.5,66266,10365,305417,951144,14.35
75,5,0.052031,0.230211,0.769789,2.5,55901,12869,247333,645727,11.55
80,5,0.076526,0.321183,0.678817,2.5,43032,13821,180607,398394,9.26
85,NA,0.134126,1,0,NA,29211,29211,217787,217787,7.46
