"Edad","n","mx","qx","px","ax","lx","dx","Lx","Tx","ex"
0,1,0.00735,0.0073,0.9927,0.07,1e+05,730,99324,7989013,79.89
1,4,0.000795,0.003175,0.996825,1.51,99270,315,396295,7889690,79.48
5,5,0.000272,0.001358,0.998642,2.5,98955,134,494438,7493394,75.73
10,5,0.000168,0.000839,0.999161,2.5,98820,83,493895,6998956,70.82
15,5,0.000465,0.002324,0.997676,2.5,98738,229,493114,6505061,65.88
20,5,0.001107,0.005521,0.994479,2.5,98508,544,491181,6011947,61.03
25,5,0.001228,0.006123,0.993877,2.5,97964,600,488321,5520766,56.35
30,5,0.001017,0.005074,0.994926,2.5,97364,494,485587,5032445,51.69
35,5,0.001118,0.005572,0.994428,2.5,96870,540,483002,4546858,46.94
40,5,0.001691,0.00842,0.99158,2.5,96331,811,479625,4063856,42.19
45,5,0.003143,0.01559,0.98441,2.5,95519,1489,473874,3584231,37.52
50,5,0.003802,0.018832,0.981168,2.5,94030,1771,465725,3110356,33.08
55,5,0.005273,0.026021,0.973979,2.5,92260,2401,455296,2644631,28.67
60,5,0.008981,0.04392,0.95608,2.5,89859,3947,439428,2189335,24.36
65,5,0.014255,0.068822,0.931178,2.5,85912,5913,414780,1749907,20.37
70,5,0.018978,0.09059,0.90941,2.5,80000,7247,381880,1335127,16.69
75,5,0.035677,0.163775,0.836225,2.5,72752,11915,333975,953247,13.1
80,5,0.056122,0.246085,0.753915,2.5,60837,14971,266759,619272,10.18
85,NA,0.130112,1,0,NA,45866,45866,352513,352513,7.69
