"year","sex","age","deaths"
2010,"male",0,79.1546487249046
2010,"male",1,13.2185131014075
2010,"male",5,7.79223560679551
2010,"male",10,5.76081436731631
2010,"male",15,32.5392573881136
2010,"male",20,45.4150257603952
2010,"male",25,54.5708108090634
2010,"male",30,63.7218337425102
2010,"male",35,84.0507906603443
2010,"male",40,87.4363400003503
2010,"male",45,95.2476471422758
2010,"male",50,109.801480272885
2010,"male",55,121.339696359689
2010,"male",60,150.130912650847
2010,"male",65,166.747475821905
2010,"male",70,169.116753711947
2010,"male",75,177.923944394685
2010,"male",80,158.950054533876
2010,"male",85,295.540944395364
2019,"male",0,46.0833333333333
2019,"male",1,11.0199275362319
2019,"male",5,6.01086956521739
2019,"male",10,7.01268115942029
2019,"male",15,56.1014492753623
2019,"male",20,124.224637681159
2019,"male",25,146.264492753623
2019,"male",30,139.251811594203
2019,"male",35,126.228260869565
2019,"male",40,154.278985507246
2019,"male",45,152.275362318841
2019,"male",50,162.29347826087
2019,"male",55,202.365942028986
2019,"male",60,234.423913043478
2019,"male",65,194.351449275362
2019,"male",70,216.391304347826
2019,"male",75,238.43115942029
2019,"male",80,186.336956521739
2019,"male",85,361.653985507246
2021,"male",0,49.6880971013075
2021,"male",1,11.0232417098699
2021,"male",5,9.01901594443901
2021,"male",10,8.01690306172356
2021,"male",15,50.1056441357723
2021,"male",20,123.259884574
2021,"male",25,158.33383546904
2021,"male",30,155.327496820894
2021,"male",35,187.395109067788
2021,"male",40,200.422576543089
2021,"male",45,205.433140956666
2021,"male",50,277.585268512178
2021,"male",55,315.665558055365
2021,"male",60,389.821911376308
2021,"male",65,436.921216863934
2021,"male",70,421.889523623203
2021,"male",75,388.819798493593
2021,"male",80,358.756412012129
2021,"male",85,521.098699012032
2010,"female",0,65.9760240506773
2010,"female",1,13.3654140753325
2010,"female",5,6.34869140955337
2010,"female",10,6.01140852412923
2010,"female",15,11.0269077526302
2010,"female",20,13.6991757618824
2010,"female",25,19.7113331907648
2010,"female",30,26.0549075546596
2010,"female",35,21.0453900105841
2010,"female",40,30.7373136608214
2010,"female",45,43.0952295240513
2010,"female",50,50.4513034116936
2010,"female",55,72.4965964064348
2010,"female",60,87.188177961807
2010,"female",65,114.257688770124
2010,"female",70,130.957741788679
2010,"female",75,154.337840507993
2010,"female",80,148.666193051575
2010,"female",85,347.446816475267
2019,"female",0,34.0762331838565
2019,"female",1,17.0381165919283
2019,"female",5,8.01793721973094
2019,"female",10,5.01121076233184
2019,"female",15,14.0313901345291
2019,"female",20,33.0739910313901
2019,"female",25,36.0807174887892
2019,"female",30,30.067264573991
2019,"female",35,31.0695067264574
2019,"female",40,44.0986547085202
2019,"female",45,74.1659192825112
2019,"female",50,80.1793721973094
2019,"female",55,92.2062780269058
2019,"female",60,133.298206278027
2019,"female",65,158.354260089686
2019,"female",70,154.345291479821
2019,"female",75,197.441704035874
2019,"female",80,205.459641255605
2019,"female",85,439.984304932735
2021,"female",0,35.4166666666667
2021,"female",1,5
2021,"female",5,10
2021,"female",10,10
2021,"female",15,18
2021,"female",20,20
2021,"female",25,35
2021,"female",30,47
2021,"female",35,59
2021,"female",40,65
2021,"female",45,114
2021,"female",50,149
2021,"female",55,199
2021,"female",60,231
2021,"female",65,290
2021,"female",70,326
2021,"female",75,318
2021,"female",80,312
2021,"female",85,603
