"year","sex","age","deaths"
1990,"male",0,208.419959225939
1990,"male",1,68.582898886315
1990,"male",5,16.3780057041946
1990,"male",10,17.4016310607068
1990,"male",15,39.9213889039744
1990,"male",20,52.2048931821204
1990,"male",25,59.1684290581116
1990,"male",30,45.0395156865352
1990,"male",35,56.2993946081691
1990,"male",40,45.0395156865352
1990,"male",45,66.5356481732907
1990,"male",50,67.5592735298029
1990,"male",55,80.866403164461
1990,"male",60,83.9372792339975
1990,"male",65,100.315284938192
1990,"male",70,114.646039929362
1990,"male",75,122.83504278146
1990,"male",80,65.5120228167785
1990,"male",85,119.141691832963
1991,"male",0,143.364094549988
1991,"male",1,38.0646438355053
1991,"male",5,19.2412916685388
1991,"male",10,12.1523947380245
1991,"male",15,26.3301885990531
1991,"male",20,50.634978075102
1991,"male",25,48.609578952098
1991,"male",30,49.6222785136
1991,"male",35,57.7238750056163
1991,"male",40,50.634978075102
1991,"male",45,54.6857763211102
1991,"male",50,64.8127719361306
1991,"male",55,77.9778662356571
1991,"male",60,82.0286644816653
1991,"male",65,114.435050449731
1991,"male",70,124.562046064751
1991,"male",75,94.1810592196898
1991,"male",80,95.1937587811918
1991,"male",85,129.625543872261
1992,"male",0,129.427715315249
1992,"male",1,37.6731605216551
1992,"male",5,17.3092899694091
1992,"male",10,13.2365158589599
1992,"male",15,40.727741104492
1992,"male",20,75.3463210433103
1992,"male",25,45.8187087425535
1992,"male",30,61.091611656738
1992,"male",35,67.2007728224118
1992,"male",40,59.0552246015134
1992,"male",45,57.0188375462888
1992,"male",50,69.2371598776365
1992,"male",55,77.3827080985349
1992,"male",60,82.4736757365964
1992,"male",65,99.7829657060055
1992,"male",70,100.801159233618
1992,"male",75,115.05586862019
1992,"male",80,99.7829657060055
1992,"male",85,150.692642086621
1993,"male",0,107.790081571324
1993,"male",1,30.3452161356826
1993,"male",5,12.1380864542731
1993,"male",10,8.09205763618203
1993,"male",15,34.3912449537736
1993,"male",20,47.5408386125695
1993,"male",25,37.4257665673419
1993,"male",30,47.5408386125695
