"V1","age","sex","N","year","deaths","mx"
1,0,"m",5805.25492842352,2010,79.1546487249046,0.013634999616873
2,1,"m",24229.1156107956,2010,13.2185131014075,0.000545563169277125
3,5,"m",30708.3005751496,2010,7.79223560679551,0.000253750141194766
4,10,"m",31085.7529563646,2010,5.76081436731631,0.00018532008458675
5,15,"m",31929.6276383238,2010,32.5392573881136,0.00101909291760916
6,20,"m",29850.5237282509,2010,45.4150257603952,0.00152141470527748
7,25,"m",26319.4615453023,2010,54.5708108090634,0.00207340149095123
8,30,"m",24899.1285017778,2010,63.7218337425102,0.00255919936065073
9,35,"m",24167.5918563595,2010,84.0507906603443,0.00347783060719916
10,40,"m",20357.6042183873,2010,87.4363400003503,0.00429502111655047
11,45,"m",17731.0823436589,2010,95.2476471422758,0.00537178979242284
12,50,"m",15443.7178590586,2010,109.801480272885,0.00710978284341554
13,55,"m",11732.9322383963,2010,121.339696359689,0.0103418049209048
14,60,"m",9058.32532846959,2010,150.130912650847,0.016573804451359
15,65,"m",6854.8329273169,2010,166.747475821905,0.0243255346395689
16,70,"m",4983.31001689326,2010,169.116753711947,0.033936631102349
17,75,"m",3419.55496551884,2010,177.923944394685,0.0520313158258268
18,80,"m",2077.06954929376,2010,158.950054533876,0.0765261108314461
19,85,"m",2203.45827344347,2010,295.540944395364,0.134125954622007
20,0,"f",5556.06142712124,2010,65.9760240506773,0.0118746030647939
21,1,"f",23369.4095175581,2010,13.3654140753325,0.000571919203405233
22,5,"f",29890.9876291305,2010,6.34869140955337,0.000212394835805499
23,10,"f",29115.2683703625,2010,6.01140852412923,0.000206469280916829
24,15,"f",31149.5900369657,2010,11.0269077526302,0.000353998487284886
25,20,"f",30950.0090942908,2010,13.6991757618824,0.00044262267323241
26,25,"f",27474.1448801282,2010,19.7113331907648,0.000717450289236184
27,30,"f",26251.414269766,2010,26.0549075546596,0.000992514433200168
28,35,"f",25302.4462388296,2010,21.0453900105841,0.000831753175639099
29,40,"f",21598.0259106017,2010,30.7373136608214,0.00142315384693254
30,45,"f",18538.4136826049,2010,43.0952295240513,0.00232464493790473
31,50,"f",15869.6330059525,2010,50.4513034116936,0.00317910964877196
32,55,"f",11872.1016853889,2010,72.4965964064348,0.00610646693631819
