"lt_desc","year","sex","age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"LT VR/Census, COL",2010,"m",0,0.013635,0.013466,0.08,1e+05,1347,98763,7339764,73.4
"LT VR/Census, COL",2010,"m",1,0.000546,0.002179,1.61,98653,215,394100,7241001,73.4
"LT VR/Census, COL",2010,"m",5,0.000254,0.001268,2.5,98438,125,491880,6846901,69.56
"LT VR/Census, COL",2010,"m",10,0.000185,0.000926,2.5,98314,91,491340,6355021,64.64
"LT VR/Census, COL",2010,"m",15,0.001019,0.005083,2.5,98222,499,489864,5863681,59.7
"LT VR/Census, COL",2010,"m",20,0.001521,0.007578,2.5,97723,741,486765,5373817,54.99
"LT VR/Census, COL",2010,"m",25,0.002073,0.010314,2.5,96983,1000,482413,4887052,50.39
"LT VR/Census, COL",2010,"m",30,0.002559,0.012715,2.5,95982,1220,476861,4404639,45.89
"LT VR/Census, COL",2010,"m",35,0.003478,0.017239,2.5,94762,1634,469726,3927778,41.45
"LT VR/Census, COL",2010,"m",40,0.004295,0.021247,2.5,93128,1979,460696,3458051,37.13
"LT VR/Census, COL",2010,"m",45,0.005372,0.026503,2.5,91150,2416,449709,2997356,32.88
"LT VR/Census, COL",2010,"m",50,0.00711,0.034928,2.5,88734,3099,435922,2547646,28.71
"LT VR/Census, COL",2010,"m",55,0.010342,0.050406,2.5,85635,4316,417382,2111725,24.66
"LT VR/Census, COL",2010,"m",60,0.016574,0.079572,2.5,81318,6471,390414,1694342,20.84
"LT VR/Census, COL",2010,"m",65,0.024326,0.114655,2.5,74848,8582,352784,1303928,17.42
"LT VR/Census, COL",2010,"m",70,0.033937,0.156413,2.5,66266,10365,305417,951144,14.35
"LT VR/Census, COL",2010,"m",75,0.052031,0.230211,2.5,55901,12869,247333,645727,11.55
"LT VR/Census, COL",2010,"m",80,0.076526,0.321183,2.5,43032,13821,180607,398394,9.26
"LT VR/Census, COL",2010,"m",85,0.134126,1,NA,29211,29211,217787,217787,7.46
"LT VR/Census, COL",2019,"m",0,0.009605,0.00952,0.07,1e+05,952,99115,7122840,71.23
